nutzer_id,alter,land,abo,registriert_seit
U-0001,34.0,AT,Free,2023-01-04
U-0002,30.0,Österreich,Premium,2025-07-21
U-0003,32.0,DE,Premium,2023-09-20
U-0004,61.0,DE,Premium,2022-08-11
U-0005,36.0,DE,Premium,2023-09-19
U-0006,26.0,AT,Premium,2024-04-13
U-0007,20.0,AT,Premium,2021-07-04
U-0008,71.0,DE,Premium,2021-11-24
U-0009,29.0,AT,Premium,2025-02-28
U-0010,58.0,DE,Premium,2022-12-16
U-0011,32.0,DE,Premium,2022-11-09
U-0012,35.0,AT,Premium,2025-08-22
U-0013,38.0,DE,Free,2024-03-08
U-0014,37.0,DE,Premium,2024-10-05
U-0015,35.0,DE,Free,2023-07-17
U-0016,29.0,Deutschland,Free,2024-07-11
U-0017,30.0,AT,Premium,2026-03-28
U-0018,32.0,DE,Free,2022-03-07
U-0019,42.0,DE,Premium,2023-01-27
U-0020,41.0,DE,Free,2024-10-06
U-0021,34.0,Deutschland,Free,2026-02-28
U-0022,24.0,DE,Free,2023-12-12
U-0023,21.0,DE,Premium,2025-10-21
U-0024,39.0,DE,Free,2025-03-13
U-0025,51.0,DE,Free,2025-06-10
U-0026,121.0,DE,Free,2023-11-13
U-0027,44.0,DE,Premium,2022-01-12
U-0028,46.0,Deutschland,Free,2024-02-21
U-0029,32.0,DE,Free,2025-04-12
U-0030,35.0,AT,Free,2026-03-27
U-0031,31.0,CH,Premium,2024-10-15
U-0032,39.0,DE,Premium,2021-08-12
U-0033,29.0,AT,Free,2024-07-19
U-0034,32.0,AT,Free,2025-06-03
U-0035,55.0,DE,Premium,2026-03-05
U-0036,59.0,DE,Free,2024-02-02
U-0037,24.0,DE,Premium,2022-07-22
U-0038,34.0,de,Premium,2023-05-24
U-0039,20.0,de,Free,2021-07-02
U-0040,40.0,DE,Premium,2025-02-26
U-0041,30.0,DE,Free,2022-05-16
U-0042,54.0,DE,Premium,2023-09-02
U-0043,60.0,CH,Free,2022-04-05
U-0044,40.0,DE,Premium,2025-02-14
U-0045,35.0,DE,Premium,2024-05-27
U-0046,38.0,DE,Free,2025-12-21
U-0047,58.0,DE,Premium,2023-11-04
U-0048,35.0,AT,Free,2024-10-06
U-0049,23.0,DE,Premium,2023-06-24
U-0050,,DE,Free,2026-03-01
