song_id;titel;kuenstler;genre;laenge;erscheinungsjahr;label
S-001;Uferlos;Mara Feldt;Pop;3:43;2016;Hafenkante
S-002;Achterbahn;Mara Feldt;Pop;2:32;2026;Kaltwasser Musik
S-003;Funkstille;Mara Feldt;Pop;3:01;2019;Pulsar Media
S-004;Feuerwerk;Juno Kley;pop;2:36;2018;Hafenkante
S-005;Wildwechsel;Juno Kley;Pop;3:25;2018;Hafenkante
S-006;Zuckerwatte;Juno Kley;Pop;3:41;2023;Hafenkante
S-007;Dauerlauf;Liv Sanders;Pop;3:30;2024;Pulsar Media
S-008;Späte Stunde;Liv Sanders;Pop;3:32;2016;Grüne Welle
S-009;Wolkenlos;Liv Sanders;Pop;3:43;2021;Nordton Records
S-010;Goldregen;Toni Hagedorn;Pop;2:38;2017;Hafenkante
S-011;Herzklopfen;Toni Hagedorn;Pop;2:44;2025;Nordton Records
S-012;Leichtsinn;Toni Hagedorn;Pop;3:32;2025;Grüne Welle
S-013;Kopfkino;Elif & Ray;Pop;2:54;2021;Grüne Welle
S-014;Endlos;Elif & Ray;Pop;3:21;2023;Hafenkante
S-015;Neonlicht;Elif & Ray;POP;2:40;2020;Hafenkante
S-016;Fernweh;Paulina Voss;pop;3:25;2023;Pulsar Media
S-017;Heimweg;Paulina Voss;pop;3:26;2019;Kaltwasser Musik
S-018;Kaltes Gold;Paulina Voss;Pop;3:09;2018;Grüne Welle
S-019;Rückenwind;Nele Brandt;pop;2:43;2017;Hafenkante
S-020;Zeitlupe;Nele Brandt;Pop;2:42;2016;Nordton Records
S-021;Glasherz;Nele Brandt;Pop;3:43;2020;Hafenkante
S-022;Sommerregen;Casimir;Pop;2:37;2019;
S-023;Spiegelbild;Casimir;Pop;2:53;2021;
S-024;Nachtzug;Casimir;POP;3:41;2014;
S-025;Papiermond;K.O. Brandt;HipHop;3:14;2026;Grüne Welle
S-026;Blaulicht;K.O. Brandt;HipHop;4:05;2018;Kaltwasser Musik
S-026;Blaulicht;K.O. Brandt;HipHop;4:05;2018;Kaltwasser Musik
S-027;Freigang;K.O. Brandt;HipHop;2:45;2016;Kaltwasser Musik
S-028;Grauzone;MC Taro;Hip Hop;3:15;2021;Nordton Records
S-029;Neustart;MC Taro;HipHop;3:01;2019;Grüne Welle
S-030;Salzhaut;MC Taro;HipHop;3:33;2017;Nordton Records
S-031;Betonblume;Nsix;HipHop;4:02;2016;Grüne Welle
S-032;Kaltstart;Nsix;HipHop;3:59;2024;Pulsar Media
S-033;Blitzlicht;Nsix;hiphop;4:01;2023;Pulsar Media
S-034;Hochhaus;Layla Kaan;HipHop;3:20;2021;Kaltwasser Musik
S-035;Nachtschicht;Layla Kaan;HipHop;2:49;2018;Pulsar Media
S-036;Tunnelblick;Layla Kaan;HipHop;3:14;2025;Kaltwasser Musik
S-037;Schachmatt;Zwei Zimmer;HipHop;3:46;2020;Nordton Records
S-038;Weiter;Zwei Zimmer;HipHop;3:27;2019;Pulsar Media
S-039;Gegenwind;Zwei Zimmer;Hip Hop;3:10;2024;Pulsar Media
S-040;Vollgas;Dime Ayo;HipHop;2:30;2017;Grüne Welle
S-041;Asphalt;Dime Ayo;Hip Hop;3:09;2014;Hafenkante
S-042;Signal;Dime Ayo;hiphop;3:09;2017;Grüne Welle
S-043;Kettenreaktion;Rasko;HipHop;2:37;2017;
S-044;Hitzefrei;Rasko;HipHop;2:40;2022;
S-045;Echo;Rasko;HipHop;3:11;2016;
S-046;Hochwasser;Die Nordlichter;Rock;4:33;2019;Pulsar Media
S-048;Kaltfront;Die Nordlichter;Rock;4:45;2016;Nordton Records
S-049;Nachtwache;Basalt;Rock;3:41;2022;Hafenkante
