stream_id,datum,wochentag,uhrzeit,nutzer_id,geraet,quelle,song_id,sekunden_gehoert
E-00001,2026-01-01,Donnerstag,07:33,U-0153,Tablet,Autoplay,S-010,158
E-00002,2026-01-01,Donnerstag,08:06,U-0164,Tablet,Playlist,S-078,24
E-00003,2026-01-01,Donnerstag,09:26,U-0061,Desktop,Album,S-062,302
E-00004,2026-01-01,Donnerstag,09:54,U-0051,Handy,Playlist,S-001,223
E-00005,2026-01-01,Donnerstag,10:36,U-0200,handy,Playlist,S-021,223
E-00006,2026-01-01,Donnerstag,11:45,U-0058,Desktop,Playlist,S-013,174
E-00007,2026-01-01,Donnerstag,12:20,U-0021,Handy,Playlist,S-069,313
E-00008,2026-01-01,Donnerstag,16:12,U-0052,Desktop,Suche,S-063,298
E-00009,2026-01-01,Donnerstag,16:18,U-0152,Desktop,Playlist,S-066,149
E-00010,2026-01-01,Donnerstag,17:19,U-0063,Handy,Album,S-041,189
E-00011,2026-01-01,Donnerstag,17:36,U-0150,Smart Speaker,Suche,S-086,339
E-00012,2026-01-01,Donnerstag,18:46,,Smart Speaker,Autoplay,S-108,367
E-00013,2026-01-01,Donnerstag,19:19,U-0105,Smart Speaker,Playlist,S-075,356
E-00014,2026-01-01,Donnerstag,21:15,U-0044,Desktop,Playlist,S-056,204
E-00015,2026-01-01,Donnerstag,22:57,U-0160,Desktop,Playlist,S-062,6
E-00016,2026-01-02,Freitag,03:32,U-0081,Tablet,Suche,S-062,302
E-00017,2026-01-02,Freitag,09:07,U-0025,Handy,Autoplay,S-114,359
E-00018,2026-01-02,Freitag,09:30,U-0167,Handy,Playlist,S-011,49
E-00019,2026-01-02,Freitag,11:00,U-0110,Desktop,Playlist,S-061,233
E-00020,2026-01-02,Freitag,13:35,U-0147,Desktop,Playlist,S-078,208
E-00021,2026-01-02,Freitag,14:00,U-0095,Desktop,Autoplay,S-047,11
E-00022,2026-01-02,Freitag,15:24,U-0026,Handy,Playlist,S-100,76
