stream_id,datum,wochentag,uhrzeit,nutzer_id,song_id,gehoert_sek,geraet,quelle
E-02054,2026-03-31,Dienstag,07:46,U-0038,S-024,5,Handy,Playlist
E-02055,2026-03-31,Dienstag,08:00,U-0138,S-078,3,handy,Suche
E-02056,2026-03-31,Dienstag,08:25,U-0010,S-001,223,Smart Speaker,Playlist
E-02057,2026-03-31,Dienstag,09:58,U-0071,S-041,177,Desktop,Playlist
E-02058,2026-03-31,Dienstag,09:58,U-0073,S-105,202,Handy,Playlist
E-02059,2026-03-31,Dienstag,10:08,U-0036,S-096,196,Smart Speaker,Autoplay
E-02060,2026-03-31,Dienstag,10:29,U-0151,S-011,26,Tablet,Autoplay
E-02061,2026-03-31,Dienstag,10:49,U-0155,S-036,194,Desktop,Autoplay
E-02062,2026-03-31,Dienstag,11:27,U-0191,S-062,302,Handy,Album
E-02063,2026-03-31,Dienstag,11:34,U-0070,S-009,28,Tablet,Album
E-02064,2026-03-31,Dienstag,12:32,U-0107,S-044,4,Handy,Autoplay
E-02065,2026-03-31,Dienstag,13:34,U-0084,S-031,242,Handy,Suche
E-02066,2026-03-31,Dienstag,14:07,U-0002,S-084,205,Handy,Playlist
E-02067,2026-03-31,Dienstag,14:13,U-0107,S-021,223,Handy,Playlist
E-02068,2026-03-31,Dienstag,14:50,,S-026,245,Smart Speaker,Album
E-02069,2026-03-31,Dienstag,17:19,U-0051,S-007,210,Tablet,Autoplay
E-02070,2026-03-31,Dienstag,17:37,U-0112,S-062,73,Handy,Autoplay
E-02071,2026-03-31,Dienstag,19:34,U-0014,S-092,165,Smart Speaker,Autoplay
E-02072,2026-03-31,Dienstag,20:50,U-0177,S-064,241,Smart Speaker,Playlist
E-02073,2026-03-31,Dienstag,20:59,U-0087,S-055,72,Handy,Playlist
E-02074,2026-03-31,Dienstag,21:59,U-0023,S-043,157,Desktop,Album
E-02075,2026-03-31,Dienstag,22:27,U-0095,S-042,12,Smart Speaker,Autoplay
E-02076,2026-03-31,Dienstag,22:47,U-0100,S-001,189,Handy,Suche
E-02077,2026-03-31,Dienstag,22:52,U-0105,S-064,21,Handy,Playlist
E-02078,2026-04-01,Mittwoch,00:29,U-0105,S-096,196,Smart Speaker,Playlist
E-02079,2026-04-01,Mittwoch,02:49,U-0105,S-005,205,Smart Speaker,Autoplay
E-02080,2026-04-01,Mittwoch,05:55,U-0015,S-011,164,Smart Speaker,Suche
E-02081,2026-04-01,Mittwoch,06:05,U-0137,S-085,30,Smart Speaker,Playlist
E-02082,2026-04-01,Mittwoch,06:11,U-0061,S-041,189,Handy,Playlist
E-02083,2026-04-01,Mittwoch,06:18,U-0105,S-003,38,Desktop,Autoplay
E-02084,2026-04-01,Mittwoch,06:57,U-0020,S-064,241,Handy,Suche
E-02085,2026-04-01,Mittwoch,07:13,U-0011,s-078,27,Tablet,Playlist
E-02086,2026-04-01,Mittwoch,07:56,U-0176,S-041,24,Handy,Playlist
E-02087,2026-04-01,Mittwoch,08:00,U-0095,S-056,28,Handy,Autoplay
